  cell  ,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",0,0,1,1
"(3, 1)",1,0,1,0
"(4, 1)",0,0,0,1
"(5, 1)",1,0,1,1
"(6, 1)",1,0,1,1
"(7, 1)",1,0,1,0
"(8, 1)",1,0,0,1
"(9, 1)",0,0,1,1
"(10, 1)",1,0,1,0
"(11, 1)",0,0,0,1
"(12, 1)",1,0,1,1
"(13, 1)",1,0,1,0
"(14, 1)",0,0,0,1
"(15, 1)",1,0,1,1
"(16, 1)",1,0,1,0
"(17, 1)",1,0,0,1
"(18, 1)",1,0,1,0
"(19, 1)",1,0,0,1
"(20, 1)",0,0,1,1
"(21, 1)",1,0,1,0
"(22, 1)",0,0,0,1
"(23, 1)",0,0,1,1
"(24, 1)",1,0,1,1
"(25, 1)",1,0,1,0
"(26, 1)",1,0,0,1
"(27, 1)",1,0,1,0
"(28, 1)",1,0,0,1
"(29, 1)",0,0,1,1
"(30, 1)",0,0,1,1
"(31, 1)",1,0,1,0
"(32, 1)",1,0,0,1
"(33, 1)",0,0,1,1
"(34, 1)",1,0,1,1
"(35, 1)",0,0,1,1
"(36, 1)",1,0,1,0
"(37, 1)",1,0,0,1
"(38, 1)",0,0,1,1
"(39, 1)",1,0,1,1
"(40, 1)",0,0,1,0
"(41, 1)",1,0,0,1
"(42, 1)",1,0,1,0
"(43, 1)",1,0,0,1
"(44, 1)",0,0,1,1
"(45, 1)",0,0,1,1
"(46, 1)",1,0,1,1
"(47, 1)",0,0,1,0
"(48, 1)",1,0,0,1
"(49, 1)",0,0,1,1
"(50, 1)",1,0,1,0
"(1, 2)",1,0,0,1
"(2, 2)",0,0,1,0
"(3, 2)",0,1,0,1
"(4, 2)",1,0,1,0
"(5, 2)",0,1,0,0
"(6, 2)",1,1,0,0
"(7, 2)",0,1,0,1
"(8, 2)",0,1,1,0
"(9, 2)",1,0,0,0
"(10, 2)",0,1,0,1
"(11, 2)",0,0,1,1
"(12, 2)",0,1,1,0
"(13, 2)",1,1,0,0
"(14, 2)",1,0,0,1
"(15, 2)",0,1,1,0
"(16, 2)",1,1,0,0
"(17, 2)",1,1,0,0
"(18, 2)",0,1,0,1
"(19, 2)",0,1,1,0
"(20, 2)",0,0,0,1
"(21, 2)",0,1,1,1
"(22, 2)",0,0,1,1
"(23, 2)",0,0,1,1
"(24, 2)",0,1,1,0
"(25, 2)",1,1,0,0
"(26, 2)",1,1,0,0
"(27, 2)",0,1,0,0
"(28, 2)",1,1,0,0
"(29, 2)",1,0,0,0
"(30, 2)",1,0,0,1
"(31, 2)",0,1,1,0
"(32, 2)",0,1,0,1
"(33, 2)",1,0,1,0
"(34, 2)",1,1,0,0
"(35, 2)",1,0,0,0
"(36, 2)",1,1,0,0
"(37, 2)",1,1,0,0
"(38, 2)",1,0,0,1
"(39, 2)",0,1,1,0
"(40, 2)",1,0,0,1
"(41, 2)",0,1,1,0
"(42, 2)",0,1,0,1
"(43, 2)",0,1,1,0
"(44, 2)",1,0,0,1
"(45, 2)",0,0,1,0
"(46, 2)",1,1,0,0
"(47, 2)",1,0,0,1
"(48, 2)",0,1,1,0
"(49, 2)",1,0,0,0
"(50, 2)",1,1,0,0
"(1, 3)",1,1,0,1
"(2, 3)",1,0,1,1
"(3, 3)",1,0,1,0
"(4, 3)",0,1,0,1
"(5, 3)",1,0,1,0
"(6, 3)",1,1,0,0
"(7, 3)",0,0,0,1
"(8, 3)",1,0,1,1
"(9, 3)",1,1,1,0
"(10, 3)",1,0,0,1
"(11, 3)",1,0,1,1
"(12, 3)",0,0,1,0
"(13, 3)",0,1,0,1
"(14, 3)",0,1,1,0
"(15, 3)",1,0,0,0
"(16, 3)",1,1,0,0
"(17, 3)",1,1,0,0
"(18, 3)",0,0,0,1
"(19, 3)",0,0,1,1
"(20, 3)",1,0,1,1
"(21, 3)",0,0,1,1
"(22, 3)",1,0,1,1
"(23, 3)",0,0,1,0
"(24, 3)",1,0,0,1
"(25, 3)",0,1,1,0
"(26, 3)",1,1,0,0
"(27, 3)",1,0,0,1
"(28, 3)",0,1,1,0
"(29, 3)",1,1,0,0
"(30, 3)",0,1,0,1
"(31, 3)",0,0,1,1
"(32, 3)",0,0,1,1
"(33, 3)",0,1,1,0
"(34, 3)",1,1,0,0
"(35, 3)",0,1,0,1
"(36, 3)",0,1,1,1
"(37, 3)",0,1,1,0
"(38, 3)",0,1,0,1
"(39, 3)",1,0,1,0
"(40, 3)",0,1,0,1
"(41, 3)",1,0,1,0
"(42, 3)",1,0,0,1
"(43, 3)",1,0,1,0
"(44, 3)",0,1,0,1
"(45, 3)",1,0,1,0
"(46, 3)",1,1,0,0
"(47, 3)",1,1,0,1
"(48, 3)",0,0,1,1
"(49, 3)",0,1,1,0
"(50, 3)",1,1,0,0
"(1, 4)",1,1,0,0
"(2, 4)",1,1,0,0
"(3, 4)",0,1,0,1
"(4, 4)",1,0,1,0
"(5, 4)",1,1,0,0
"(6, 4)",1,1,0,0
"(7, 4)",1,0,0,1
"(8, 4)",0,1,1,0
"(9, 4)",0,1,0,0
"(10, 4)",1,1,0,0
"(11, 4)",0,1,0,1
"(12, 4)",0,0,1,1
"(13, 4)",1,0,1,0
"(14, 4)",1,0,0,1
"(15, 4)",0,1,1,1
"(16, 4)",0,1,1,0
"(17, 4)",0,1,0,1
"(18, 4)",0,0,1,1
"(19, 4)",1,0,1,0
"(20, 4)",1,1,0,0
"(21, 4)",1,0,0,1
"(22, 4)",0,1,1,0
